ingredients,10+ year old blended rum
10+ year old blended rum,1.0
aalborg taffel akvavit,1.0
abasolo mexican corn whisky,0.0
abbotts bitters,0.0
aberfeldy 12 year old single malt,0.0
abricot  eau-de-vie,0.0
absinthe,0.0
acidic cocktail mixer,0.0
acqua bianca liqueur,0.0
adelaide hills distillery bitter orange aperitif,0.0
advocaat liqueur,0.0
agave sec liqueur,0.0
agave syrup,0.0
agavero liqueur,0.0
aged grappa,0.0
albumin / powdered egg white,0.0
alchermes,0.0
algarrobo extract,0.0
alizé gold passion,0.0
allspice jamaica pepper,0.0
almond milk,0.0
aloe vera juice drink,0.0
amaretto,0.0
amargo chuncho bitters,0.0
amaro braulio,0.0
amaro ciociaro liqueur,0.0
amaro delletna,0.0
amaro lucano,0.0
amaro nonino,0.0
amaro nonino quintessentia,0.0
amarula cream liqueur,0.0
amber rum,0.0
ambre/amber vermouth,0.0
amer picon,0.0
american brandy,0.0
americano bianco,0.0
americano rosso/rosa,0.0
amontillado sherry,0.0
ancho reyes chile liqueur,0.0
angostura,0.0
anise / aniseed syrup,0.0
anisette liqueur,0.0
antica ricetta barolo chinato,0.0
antésite anise,0.0
aperitivo rosato ramazzotti,0.0
aperol,0.0
aphrodite bitters,0.0
apple,0.0
apple & cardamom shrub,0.0
apple butter,0.0
apple cider,0.0
apple cider vinegar,0.0
apple juice,0.0
apple sugar syrup,0.0
applejack brandy,0.0
applejack brandy bottled-in-bond,0.0
appleton estate 151 dark rum,0.0
appleton estate rare blend 12 year old jamaican rum,0.0
appleton estate reserve blend,0.0
appleton estate signature blend,0.0
appleton estate special,0.0
apricot brandy liqueur,0.0
apricot jam,0.0
apricot liqueur,0.0
aquafaba,0.0
aquavit,0.0
archers peach schnapps,0.0
ardbeg 5yo wee bestie,0.0
ardbeg ten,0.0
arette classic blanco,0.0
armagnac brandy,0.0
aromatic tonic water,0.0
artichoke essence,0.0
artisan barrel smoked cola,0.0
asti spumante,0.0
averna amaro,0.0
bacardi carta negra superior,0.0
bacardi spiced,0.0
bacon seasoning,0.0
baileys chocolate luxe liqueur,0.0
