,title,glass,garnish,recipe,ingredients,raw_ingredients,image_link
0,chad's Whiskey Sour (Difford's recipe),Old-fashioned glass,Pineapple slice,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"[['6 cl', 'Bourbon whiskey'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura or other aromatic bitters'], ['1.5 cl', 'Pasteurised egg white'], ['3 cl', 'Pineapple juice (fresh pressed)']]","[['6 cl', 'bourbon whiskey'], ['3 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['3 dash', 'angostura'], ['1.5 cl', 'egg white'], ['3 cl', 'pineapple juice']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/chad's%20Whiskey%20Sour%20(Difford's%20recipe).png?raw=true
1,Granny's,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5.25 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['4.5 cl', 'Apple juice']]","[['5.25 cl', 'white rum'], ['1.5 cl', 'schnapps'], ['0.75 cl', 'cinnamon schnapps & goldwasser liqueurs'], ['4.5 cl', 'apple juice']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Granny's.png?raw=true
2,Christmas Martini,Martini glass,Dehydrated orange slices,"STIR marmalade with gin in base of shaker until it dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 spoon', 'Orange marmalade'], ['5 cl', 'Tanqueray Rangpur Gin'], ['1.5 cl', 'Cointreau triple sec liqueur'], ['1.5 cl', 'Becherovka liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","[['1 spoon', 'orange marmalade'], ['5 cl', 'gin'], ['1.5 cl', 'triple sec'], ['1.5 cl', 'becherovka liqueur'], ['1.5 cl', 'lemon juice']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Christmas%20martini.png?raw=true
3,Mark's Manhattan (Perfect),Coupe glass,Orange zest twist (discarded) & Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.25 cl', 'Rosso/rouge (sweet) vermouth'], ['1.25 cl', 'Dry vermouth'], ['2 dash', 'Angostura or other aromatic bitters']]","[['6 cl', 'bourbon whiskey'], ['1.25 cl', 'red vermouth'], ['1.25 cl', 'dry vermouth'], ['2 dash', 'angostura']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Mark's%20Manhattan%20(Perfect).png?raw=true
4,Artist's Gin & Tonic,Copa glass,Lemon wedge in glass,POUR all ingredients into ice-filled glass.,"[['3 cl', 'Rutte Dry Gin'], ['1.5 cl', 'St-Germain elderflower liqueur'], ['1.5 cl', 'Cranberry juice (sweetened)'], ['9 cl', 'Thomas Henry Tonic Water']]","[['3 cl', 'gin'], ['1.5 cl', 'st-germain elderflower liqueur'], ['1.5 cl', 'cranberry juice'], ['9 cl', 'tonic water']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Artist's%20Gin%20&%20Tonic.png?raw=true
5,Pineapple Daiquiri (Difford's recipe),Coupe glass,Pineapple wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Pineapple rum'], ['3 cl', 'Havana Club 7yo rum'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'De Kuyper Pineapple liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['4 drop', ""Difford's Daiquiri Bitters""]]","[['3 cl', 'pineapple rum'], ['3 cl', 'amber rum'], ['3 cl', 'pineapple juice'], ['1.5 cl', 'lime juice'], ['1 cl', 'de kuyper pineapple liqueur'], ['1 cl', 'sugar syrup'], ['4 drop', ""difford's daiquiri bitters""]]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Pineapple%20Daiquiri%20(Difford's%20recipe).png?raw=true
6,Army Martini,Martini glass,Mint leaf,STIR all ingredients with ice and strain into chilled glass.,"[['7.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Martini Rosso sweet vermouth'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['7.5 cl', 'gin'], ['0.75 cl', 'red vermouth'], ['0.75 cl', 'giffard grenadine syrup']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Army%20Martini.png?raw=true
7,Michael's Dark 'N' Stormy (Difford's recipe),Collins glass,Lime wedge,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with ginger beer and briefly stir. Then top with 151.,"[['2 dash', 'Angostura or other aromatic bitters'], ['6 cl', 'Dark/black/blackstrap rum'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', ""King's Ginger liqueur""], ['9 cl', 'Ginger beer']]","[['2 dash', 'angostura'], ['6 cl', 'dark rum'], ['3 cl', 'lime juice'], ['1.5 cl', 'gin'], ['9 cl', 'gin']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Michael's%20Dark%20'N'%20Stormy%20(Difford's%20recipe).png?raw=true
8,Blue coconut cloud,Boston glass,cherry,Combine all ingredients in a shaker with ice and shake until the liquid is frothy. Strain in a boston glass and garnish with a cherry.,"[['3 cl', 'Malibu Coconut liqueur'], ['3 cl', 'De Kuyper Blue Curaçao'], ['3 cl', 'Disaronno amaretto'], ['3 cl', ""Cream of coconut (e.g. Coco Lopez, Re'al etc.)""], ['4.5 cl', 'Milk (semi-skimmed/2% fat)']]","[['3 cl', 'malibu coconut liqueur'], ['3 cl', 'de kuyper blue curaçao'], ['3 cl', 'amaretto'], ['3 cl', 'cream of coconut'], ['4.5 cl', 'milk']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Blue%20coconut%20cloud.png?raw=true
9,Christmas Margarita (re-shake),Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rooster Rojo Reposado Tequila'], ['4.5 cl', 'Eager Cranberry Juice Drink'], ['1.5 cl', 'Grand Marnier liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'tequila'], ['4.5 cl', 'eager cranberry juice drink'], ['1.5 cl', 'grand marnier'], ['1.5 cl', 'lime juice']]",https://github.com/RamPrin/CockTail/blob/main/top10_img/Christmas%20Margarita%20(re-shake).png?raw=true
